name,url,tripadvisor_id,num_reviews
Pastel de Nata Masterclass by Nat'elier,https://www.tripadvisor.com/Attraction_Review-g189158-d15224399-Reviews-Pastel_de_Nata_Masterclass_by_Nat_elier-Lisbon_Lisbon_District_Central_Portugal.html,15224399,322
Float in Spa Lisbon,https://www.tripadvisor.com/Attraction_Review-g189158-d3873474-Reviews-Float_in_Spa_Lisbon-Lisbon_Lisbon_District_Central_Portugal.html,3873474,311
Escape2Win Lumiar - Underground,https://www.tripadvisor.com/Attraction_Review-g189158-d26728467-Reviews-Escape2Win_Lumiar_Underground-Lisbon_Lisbon_District_Central_Portugal.html,26728467,383
Myo Thai Massage,https://www.tripadvisor.com/Attraction_Review-g189158-d19823521-Reviews-Myo_Thai_Massage-Lisbon_Lisbon_District_Central_Portugal.html,19823521,151
Pastel De Nata Masterclass By Nat'elier,https://www.tripadvisor.com/Attraction_Review-g189158-d14963612-Reviews-Pastel_De_Nata_Masterclass_By_Nat_elier-Lisbon_Lisbon_District_Central_Portugal.html,14963612,64
Real Fado,https://www.tripadvisor.com/Attraction_Review-g189158-d14985072-Reviews-Real_Fado-Lisbon_Lisbon_District_Central_Portugal.html,14985072,80
Wine With a View,https://www.tripadvisor.com/Attraction_Review-g189158-d8671401-Reviews-Wine_With_a_View-Lisbon_Lisbon_District_Central_Portugal.html,8671401,212
Homecooking Lisbon,https://www.tripadvisor.com/Attraction_Review-g189158-d23709263-Reviews-Homecooking_Lisbon-Lisbon_Lisbon_District_Central_Portugal.html,23709263,350
The Botanical Massage,https://www.tripadvisor.com/Attraction_Review-g189158-d24084829-Reviews-The_Botanical_Massage-Lisbon_Lisbon_District_Central_Portugal.html,24084829,209
HIPPOtrip,https://www.tripadvisor.com/Attraction_Review-g189158-d4316891-Reviews-HIPPOtrip-Lisbon_Lisbon_District_Central_Portugal.html,4316891,3719
Inside Lisbon Tours,https://www.tripadvisor.com/Attraction_Review-g189158-d1746966-Reviews-Inside_Lisbon_Tours-Lisbon_Lisbon_District_Central_Portugal.html,1746966,11224
BlueLane,https://www.tripadvisor.com/Attraction_Review-g189158-d17413841-Reviews-BlueLane-Lisbon_Lisbon_District_Central_Portugal.html,17413841,347
Majong,https://www.tripadvisor.com/Attraction_Review-g189158-d245843-Reviews-Majong-Lisbon_Lisbon_District_Central_Portugal.html,245843,176
Ginginha do Carmo,https://www.tripadvisor.com/Attraction_Review-g189158-d2365833-Reviews-Ginginha_do_Carmo-Lisbon_Lisbon_District_Central_Portugal.html,2365833,326
Lisboa Em Fado,https://www.tripadvisor.com/Attraction_Review-g189158-d25223402-Reviews-Lisboa_Em_Fado-Lisbon_Lisbon_District_Central_Portugal.html,25223402,124
Tuk Dreams Lisbon,https://www.tripadvisor.com/Attraction_Review-g189158-d10436253-Reviews-Tuk_Dreams_Lisbon-Lisbon_Lisbon_District_Central_Portugal.html,10436253,184
Lisbon Scooter,https://www.tripadvisor.com/Attraction_Review-g189158-d3963190-Reviews-Lisbon_Scooter-Lisbon_Lisbon_District_Central_Portugal.html,3963190,111
Younik - Dare To Be You,https://www.tripadvisor.com/Attraction_Review-g189158-d14796711-Reviews-Younik_Dare_To_Be_You-Lisbon_Lisbon_District_Central_Portugal.html,14796711,113
Lx Escape Belém,https://www.tripadvisor.com/Attraction_Review-g189158-d25181820-Reviews-Lx_Escape_Belem-Lisbon_Lisbon_District_Central_Portugal.html,25181820,125
Lisbon Cooking Academy,https://www.tripadvisor.com/Attraction_Review-g189158-d13114919-Reviews-Lisbon_Cooking_Academy-Lisbon_Lisbon_District_Central_Portugal.html,13114919,150
Eco Tuk Tours Lisboa,https://www.tripadvisor.com/Attraction_Review-g189158-d4572888-Reviews-Eco_Tuk_Tours_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html,4572888,4184
Scooteria,https://www.tripadvisor.com/Attraction_Review-g189158-d12257540-Reviews-Scooteria-Lisbon_Lisbon_District_Central_Portugal.html,12257540,319
Alface Hall Hostel & Bar,https://www.tripadvisor.com/Attraction_Review-g189158-d2345177-Reviews-Alface_Hall_Hostel_Bar-Lisbon_Lisbon_District_Central_Portugal.html,2345177,179
Elohim Spa Lisbon,https://www.tripadvisor.com/Attraction_Review-g189158-d6212257-Reviews-Elohim_Spa_Lisbon-Lisbon_Lisbon_District_Central_Portugal.html,6212257,105
Compadre Cooking School,https://www.tripadvisor.com/Attraction_Review-g189158-d15535550-Reviews-Compadre_Cooking_School-Lisbon_Lisbon_District_Central_Portugal.html,15535550,264
